,Tweets,Fecha,Likes,Retweets,Indice,Localizacion,Polaridad
0,"Je, je... aparecí 😬🤓 ¿Cómo estas?",2018-11-23 03:11:22,16288,464,0,,Tweet neutral
1,Las cosas que te hubiera dicho.,2018-11-23 03:09:26,20041,6072,1,,Tweet neutral
2,"@_AlyVenegas Jamás olvidaría el cumpleaños de mi Aly bebé, espero sientas todo lo que te quiero y lo agradecida que… https://t.co/W4KfN5Y0v5",2018-10-17 03:19:01,161,12,2,,Tweet neutral
3,@cloudbep Mi chiquita llena de luz te mando un abrazo que dure todo el día de tu cumpleaños ❤️💫👆🏽😍 te adoro y deseo… https://t.co/sUuF8MLIIB,2018-10-15 16:53:00,71,4,3,,Tweet neutral
4,"RT @adanjodorowsky: Ser ""honesto"" y decir todo lo que piensas es una forma de egoísmo ya que la sensibilidad del otro no te preocupa. De he…",2018-10-15 16:48:05,0,4594,4,,Tweet neutral
5,Hola 👋🏿,2018-09-30 16:02:13,20164,833,5,,Tweet neutral
6,¡Corazón enloquecido y MUY MUY agradecido! ⭐️✨💖 Aquí está nuestra estrella por fin ⭐️ ¡MÉXICO EN LAS VEGAS! https://t.co/VIjEV1TacN,2018-09-18 19:27:12,63147,4944,6,,Tweet neutral
7,Twitter me pone de buenas 😭😍,2018-09-13 05:58:32,14532,1198,7,,Tweet neutral
8,RT @JuanBertheau: 😱😱😱😱😱 muchas felicidades @yuyacst poniendo en alto a 🇲🇽 https://t.co/rWE5FlDVBp,2018-09-13 05:58:09,0,436,8,,Tweet neutral
9,"RT @Sergecast: Neta que estoy muy feliz y orgulloso de tenerte como hermanita @yuyacst , no puedo creer esto. Me quedo sin palabras. https:…",2018-09-13 05:57:56,0,1096,9,,Tweet neutral
